No_Inscription;No_Region_MEF;Nom_Dossier;Adresse;Qualite_Sol_Residuel*;Code_Muncp;NO_MRC;Contaminants_sols;Contaminants_eau;LATITUDE_DEG_DEC_NAD83;LONGITUDE_DEG_DEC_NAD83
6141;12;Maurice Comeau;"130, rue Boissonneault
Laurier-Station";R : Non terminée;33060;330;Hydrocarbures légers*,;0;46.5440007379;-71.6350442096
6145;16;Pétrolière Impériale;"3105, rue Dessaules
Saint-Hyacinthe";R : Non terminée;54048;540;Hydrocarbures aromatiques volatiles*,;Cuivre (Cu), Hydrocarbures aromatiques volatiles*, Plomb (Pb), Zinc (Zn),;45.6188888889;-72.9611111111
6150;15;Ville de Blainville;"598,614,616,618 et 620 boul. Curé-Labelle
Blainville";R : Non terminée;73015;730;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Éthylbenzène, Toluène, Xylènes (o,m,p),;45.659252392;-73.8574584757
6157;12;Kerry Canada;"187, Boulevard  Bégin              
Sainte-Claire  
";R : Non terminée;19055;190;Hydrocarbures aromatiques polycycliques*, Hydrocarbures lourds*, Hydrocarbures pétroliers C10 à C50,;0;46.5998398961;-70.8579567199
6160;16;Leblanc,  Richard;"464, rang Saint-Pierre Nord      
Saint-Constant                   
";R : Non terminée;67035;670;Cadmium (Cd), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Nickel (Ni), Plomb (Pb),;0;45.3411111111;-73.5891666667
6162;12;Express Marco inc.;"4010, route 112
East Broughton";R : Non terminée;31122;310;Hydrocarbures pétroliers C10 à C50,;0;;
6165;12;Station service Pétroc-Cnada #16102;"159, chemin des Pionniers Est
L'Islet";R : Non terminée;17078;170;Hydrocarbures légers*, Hydrocarbures pétroliers C10 à C50,;0;47.1214643518;-70.3770131618
6167;15;Couche-Tard inc.;"5, rue Grande-Côte
Rosemère";R : Non terminée;73020;730;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;Hydrocarbures aromatiques volatiles*,;45.6198173884;-73.812275024
6168;16;Marguerite Dunn Girard;"45, rue Centre
Granby";R : Non terminée;47017;470;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Xylènes (o,m,p),;0;45.4177777778;-72.7255555556
6169;4;SIQ (Immeuble 03235 - Ministère des Transports) Coté Ouest du bâtiment;"2775, boul. des Récollets
Trois-Rivières";R : Non terminée;37067;371;Xylènes (o,m,p),;Éthylbenzène, Xylènes (o,m,p),;46.3331442936;-72.5738632289
6178;2;Piste cyclable lot 1990-2;;R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.3262798142;-70.8729154015
6180;5;Mercier et frères enr.;"695, Route 161
Frontenac";R : Non terminée;30025;300;Benzène, Éthylbenzène, Méthyl naphtalènes (chacun), Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;45.485837;-70.870011
